"File.name","Left","Right","Done?","Sex"
"X201217_Lane1_append","WT","WT","Y","F"
"X201217_Lane2_append","Oxtr-/-","WT","Y","F"
"X210125_Lane1_append","WT","WT","Y","F"
"X210125_Lane2_append","Oxtr-/-","WT","Y","F"
"X210126_Lane1_append","Oxtr-/-","WT","Y","F"
"X210126_Lane2_append","WT","WT","Y","F"
"X210126_Lane3_append","WT","Oxtr-/-","Y","F"
"X210126_Lane4_append","WT","WT","Y","F"
"X210513_Lane3_append","Oxtr-/-","WT","Y","F"
"X210513_Lane4_append","WT","WT","Y","F"
"X210527_Lane1_append","WT","Oxtr-/-","Y","F"
"X210527_Lane2_append","WT","WT","Y","F"
"X210527_Lane3_append","WT","Oxtr-/-","Y","F"
"X210527_Lane4_append","WT","WT","Y","F"
"X210602_Lane1_append","WT","WT","Y","F"
"X210602_Lane2_append","WT","Oxtr-/-","Y","F"
